item_id,order_id,product_id,quantity,unit_price
I001,O001,P012,10,85.00
I002,O001,P034,5,420.00
I003,O001,P078,20,32.50
I004,O002,P021,15,180.00
I005,O002,P056,8,650.00
I006,O002,P089,30,45.00
I007,O003,P012,5,85.00
I008,O003,P045,3,120.50
I009,O004,P021,20,180.00
I010,O004,P067,12,850.00
I011,O004,P091,40,55.00
I012,O005,P034,6,420.00
I013,O005,P078,15,32.50
I014,O005,P012,8,85.00
I015,O006,P056,4,650.00
I016,O006,P023,25,96.00
I017,O007,P021,18,180.00
I018,O007,P067,10,850.00
I019,O007,P091,35,55.00
I020,O008,P045,3,120.00
I021,O008,P012,2,85.00
I022,O009,P021,25,180.00
I023,O009,P067,15,850.00
I024,O009,P091,50,60.00
I025,O009,P056,8,650.00
I026,O010,P034,10,420.00
I027,O010,P078,20,32.50
I028,O010,P023,15,96.00
I029,O011,P056,6,650.00
I030,O011,P012,12,85.00
I031,O011,P045,8,120.00
I032,O012,P034,8,420.00
I033,O012,P078,18,32.50
I034,O012,P023,10,96.00
I035,O013,P021,12,180.00
I036,O013,P067,6,850.00
I037,O013,P091,20,55.00
I038,O014,P021,20,180.00
I039,O014,P067,10,850.00
I040,O014,P056,8,650.00
I041,O015,P034,8,420.00
I042,O015,P078,22,32.50
I043,O015,P023,14,96.00
I044,O016,P012,2,85.00
I045,O016,P045,1,120.00
I046,O017,P021,22,180.00
I047,O017,P067,14,850.00
I048,O017,P091,45,60.00
I049,O017,P056,10,650.00
I050,O018,P021,15,180.00
I051,O018,P067,9,850.00
I052,O018,P091,30,55.00
I053,O019,P034,6,420.00
I054,O019,P078,16,32.50
I055,O019,P012,10,85.00
I056,O020,P021,24,180.00
I057,O020,P067,13,850.00
I058,O020,P091,42,60.00
I059,O020,P056,9,650.00
I060,O021,P034,7,420.00
I061,O021,P078,19,32.50
I062,O021,P023,12,96.00
I063,O022,P021,30,180.00
I064,O022,P067,20,850.00
I065,O022,P091,60,65.00
I066,O022,P056,15,650.00
I067,O023,P034,9,420.00
I068,O023,P078,22,32.50
I069,O023,P012,14,85.00
I070,O024,P021,14,180.00
I071,O024,P067,7,850.00
I072,O024,P091,28,55.00
I073,O025,P056,8,650.00
I074,O025,P034,10,420.00
I075,O025,P023,16,96.00
I076,O026,P021,22,180.00
