order_id,contractor_id,created_at,status,total_amount
O001,C001,2024-01-05 08:23:11,completed,4250.00
O002,C003,2024-01-07 09:45:00,completed,12800.00
O003,C002,2024-01-08 10:12:33,completed,870.50
O004,C006,2024-01-10 11:30:45,completed,22400.00
O005,C001,2024-01-15 14:05:22,completed,3100.75
O006,C004,2024-01-18 08:55:10,completed,5600.00
O007,C009,2024-01-20 13:40:00,completed,18750.00
O008,C005,2024-01-22 09:15:30,cancelled,450.00
O009,C012,2024-01-25 15:20:45,completed,31200.00
O010,C003,2024-01-28 10:30:00,completed,9800.50
O011,C007,2024-02-02 08:45:15,completed,6700.00
O012,C001,2024-02-05 11:20:30,completed,4900.25
O013,C016,2024-02-07 14:10:00,completed,8200.00
O014,C006,2024-02-10 09:30:45,completed,19500.00
O015,C010,2024-02-12 13:05:22,completed,7350.75
O016,C002,2024-02-14 10:45:00,cancelled,320.00
O017,C015,2024-02-18 08:20:15,completed,28900.00
O018,C009,2024-02-20 12:35:30,completed,16400.00
O019,C004,2024-02-22 15:50:45,completed,4800.00
O020,C012,2024-02-25 09:10:00,completed,27600.50
O021,C001,2024-03-01 08:30:15,completed,5100.00
O022,C018,2024-03-03 11:45:30,completed,42000.00
O023,C007,2024-03-05 14:20:45,completed,7200.75
O024,C003,2024-03-08 09:55:00,completed,11500.00
O025,C013,2024-03-10 13:10:15,completed,9800.00
O026,C006,2024-03-12 10:25:30,completed,21300.00
O027,C011,2024-03-15 08:40:45,cancelled,680.00
O028,C015,2024-03-18 12:55:00,completed,33500.00
O029,C009,2024-03-20 15:10:15,completed,17800.50
O030,C002,2024-03-22 09:25:30,completed,1200.00
O031,C016,2024-03-25 11:40:45,completed,9600.00
O032,C004,2024-03-28 14:55:00,completed,6300.75
O033,C012,2024-04-02 08:15:15,completed,29400.00
O034,C001,2024-04-05 10:30:30,completed,4650.00
O035,C018,2024-04-07 13:45:45,completed,38700.00
O036,C010,2024-04-10 09:00:00,completed,8100.50
O037,C003,2024-04-12 11:15:15,completed,13200.00
O038,C007,2024-04-15 14:30:30,completed,7800.00
O039,C020,2024-04-18 08:45:45,cancelled,290.00
O040,C015,2024-04-20 12:00:00,completed,31100.00
O041,C006,2024-04-22 10:15:15,completed,24600.00
O042,C009,2024-04-25 13:30:30,completed,19200.50
O043,C013,2024-04-28 08:45:45,completed,10500.00
O044,C016,2024-05-01 11:00:00,completed,8900.00
O045,C001,2024-05-03 14:15:15,completed,5300.75
O046,C012,2024-05-06 09:30:30,completed,32800.00
O047,C018,2024-05-08 12:45:45,completed,44500.00
O048,C004,2024-05-10 08:00:00,completed,5900.00
O049,C002,2024-05-12 10:15:15,cancelled,410.00
O050,C007,2024-05-15 13:30:30,completed,8400.50
O051,C015,2024-05-18 09:45:45,completed,35200.00
O052,C003,2024-05-20 12:00:00,completed,14100.00
O053,C010,2024-05-22 08:15:15,completed,7600.00
O054,C006,2024-05-25 11:30:30,completed,22800.00
O055,C009,2024-05-28 14:45:45,completed,20100.75
O056,C013,2024-06-01 09:00:00,completed,11200.00
O057,C001,2024-06-03 10:15:15,completed,4800.00
O058,C016,2024-06-05 13:30:30,completed,9300.50
O059,C018,2024-06-08 08:45:45,completed,41200.00
O060,C012,2024-06-10 12:00:00,completed,30500.00
O061,C020,2024-06-12 09:15:15,completed,1800.00
O062,C004,2024-06-15 11:30:30,completed,6100.75
O063,C007,2024-06-18 14:45:45,completed,8900.00
O064,C015,2024-06-20 08:00:00,completed,36800.00
O065,C003,2024-06-22 10:15:15,completed,12600.00
O066,C009,2024-06-25 13:30:30,completed,18500.50
O067,C002,2024-06-28 09:45:45,completed,950.00
O068,C006,2024-06-30 12:00:00,completed,23900.00
